nom_c	nom_l	nom_s	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
G_Frontal_Mid-5-R	G_Frontal_Mid-5-R	F2_5_R	28	527	527	25	73	58	41.8557874762808	17.3092979127135	41.4421252371916
S_Inf_Frontal-1-L	S_Inf_Frontal-1-L	f2_1_L	29	585	585	68	83	43	-44.2393162393163	38.3213675213675	11.7367521367521
S_Inf_Frontal-1-R	S_Inf_Frontal-1-R	f2_1_R	30	281	281	23	84	42	46.3843416370107	39.5943060498221	9.87900355871886
S_Inf_Frontal-2-L	S_Inf_Frontal-2-L	f2_2_L	31	1116	1116	68	71	52	-43.1075268817204	14.84229390681	29.4139784946236
S_Inf_Frontal-2-R	S_Inf_Frontal-2-R	f2_2_R	32	1138	1138	24	73	51	43.9402460456942	18.5114235500879	28.377855887522
G_Frontal_Inf_Tri-1-L	G_Frontal_Inf_Tri-1-L	F3t_L	33	1289	1289	71	77	39	-49.44453064391	25.5577967416602	4.67804499612103
G_Frontal_Inf_Tri-1-R	G_Frontal_Inf_Tri-1-R	F3t_R	34	967	967	21	78	40	49.8304033092037	28.5398138572906	5.02171664943123
G_Frontal_Sup_Orb-1-L	G_Frontal_Sup_Orb-1-L	F1O_L	35	421	421	52	90	27	-12.4275534441805	52.1947743467933	-20.104513064133
G_Frontal_Sup_Orb-1-R	G_Frontal_Sup_Orb-1-R	F1O_R	36	389	389	40	89	27	12.4627249357327	50.185089974293	-20.9974293059126
G_Frontal_Mid_Orb-1-L	G_Frontal_Mid_Orb-1-L	F2O1_L	37	105	105	64	92	33	-35.0095238095238	56.8190476190476	-7.71428571428571
G_Frontal_Mid_Orb-1-R	G_Frontal_Mid_Orb-1-R	F2O1_R	38	178	178	28	92	34	36.4831460674157	56.6966292134831	-6.21348314606742
G_Frontal_Mid_Orb-2-L	G_Frontal_Mid_Orb-2-L	F2O2_L	39	505	505	67	88	34	-41.0455445544554	48.9861386138614	-5.31485148514851
G_Frontal_Mid_Orb-2-R	G_Frontal_Mid_Orb-2-R	F2O2_R	40	370	370	26	89	35	39.7189189189189	50.2216216216216	-4.43243243243244
G_Frontal_Inf_Orb-1-L	G_Frontal_Inf_Orb-1-L	F3O1_L	41	180	180	67	79	29	-42.1777777777778	30.5333333333333	-16.8666666666667
G_Frontal_Inf_Orb-1-R	G_Frontal_Inf_Orb-1-R	F3O1_R	42	264	264	24	81	30	44.219696969697	33.0151515151515	-14.4318181818182
G_Frontal_Inf_Orb-2-L	G_Frontal_Inf_Orb-2-L	F3O2_L	43	557	557	57	75	27	-21.245960502693	22.5852782764811	-20.7396768402154
G_Frontal_Inf_Orb-2-R	G_Frontal_Inf_Orb-2-R	F3O2_R	44	509	509	35	75	27	21.0255402750491	22.3811394891945	-19.6935166994106
S_Orbital-1-L	S_Orbital-1-L	orb1_L	45	278	278	58	83	30	-24.9712230215827	38.568345323741	-14.9928057553957
S_Orbital-1-R	S_Orbital-1-R	orb1_R	46	370	370	33	85	30	25.8216216216216	41.4864864864865	-14.9135135135135
S_Orbital-2-L	S_Orbital-2-L	orb2_L	47	225	225	62	81	30	-31.1377777777778	33.9288888888889	-13.1733333333333
S_Orbital-2-R	S_Orbital-2-R	orb2_R	48	244	244	31	81	31	29.1803278688525	34.3114754098361	-12.7704918032787
S_Olfactory-1-L	S_Olfactory-1-L	olf_L	49	470	470	49	83	25	-5.53191489361703	38.804255319149	-23.4510638297872
S_Olfactory-1-R	S_Olfactory-1-R	olf_R	50	477	477	43	83	25	5.54297693920336	37.8993710691824	-23.4716981132075
S_Precentral-1-L	S_Precentral-1-L	prec1_L	51	250	250	71	67	50	-49.744	6.14400000000001	25.672
S_Precentral-1-R	S_Precentral-1-R	prec1_R	52	337	337	21	69	49	50.2077151335312	9.64985163204747	24.2255192878338
S_Precentral-2-L	S_Precentral-2-L	prec2_L	53	336	336	59	60	66	-25.2380952380952	-8.4702380952381	58.8690476190476
S_Precentral-2-R	S_Precentral-2-R	prec2_R	54	309	309	33	60	66	26.0582524271845	-7.72168284789645	58.0453074433657
S_Precentral-3-L	S_Precentral-3-L	prec3_L	55	74	74	55	60	72	-18.1891891891892	-8.70270270270271	69.2972972972973
S_Precentral-3-R	S_Precentral-3-R	prec3_R	56	40	40	36	61	71	19.75	-6.34999999999999	67.7
S_Precentral-4-L	S_Precentral-4-L	prec4_L	57	766	766	67	64	62	-42.177545691906	0.718015665796344	49.911227154047
S_Precentral-4-R	S_Precentral-4-R	prec4_R	58	540	540	24	64	61	43.6555555555556	0.996296296296293	48.3592592592593
S_Precentral-5-L	S_Precentral-5-L	prec5_L	59	146	146	74	66	52	-56.1095890410959	4.79452054794521	30.5753424657534
S_Precentral-5-R	S_Precentral-5-R	prec5_R	60	147	147	18	68	51	56.9523809523809	8.0408163265306	28.7755102040816
S_Precentral-6-L	S_Precentral-6-L	prec6_L	61	151	151	61	58	69	-29.7748344370861	-11.1788079470199	64.6754966887417
S_Precentral-6-R	S_Precentral-6-R	prec6_R	62	119	119	31	59	69	30.9075630252101	-9.79831932773109	64.1680672268908
S_Rolando-1-L	S_Rolando-1-L	rol1_L	63	1167	1167	73	60	53	-54.2639245929734	-8.37189374464438	31.9914310197087
S_Rolando-1-R	S_Rolando-1-R	rol1_R	64	1101	1101	18	61	53	55.3950953678474	-5.19891008174388	31.1407811080836
S_Rolando-2-L	S_Rolando-2-L	rol2_L	65	416	416	68	57	62	-43.5769230769231	-13.7211538461538	50.6201923076923
S_Rolando-2-R	S_Rolando-2-R	rol2_R	66	338	338	24	59	61	44.7218934911243	-10.9230769230769	48.6153846153846
S_Rolando-3-L	S_Rolando-3-L	rol3_L	67	1136	1136	65	52	68	-38.762323943662	-23.125	61.4383802816901
S_Rolando-3-R	S_Rolando-3-R	rol3_R	68	1148	1148	28	54	67	36.8257839721254	-20.1759581881533	60.01393728223
S_Rolando-4-L	S_Rolando-4-L	rol4_L	69	1110	1110	58	50	70	-23.1369369369369	-28.8504504504505	65.3405405405405
S_Rolando-4-R	S_Rolando-4-R	rol4_R	70	733	733	35	50	70	22.0736698499318	-27.3260572987722	65.4051841746248
S_Postcentral-1-L	S_Postcentral-1-L	post1_L	71	194	194	75	55	53	-57.5154639175258	-17.7835051546392	31.7525773195876
S_Postcentral-1-R	S_Postcentral-1-R	post1_R	72	234	234	17	57	53	58.2735042735043	-15	32.2905982905983
S_Postcentral-2-L	S_Postcentral-2-L	post2_L	73	558	558	66	47	64	-40.7992831541219	-33.4516129032258	54.7347670250896
S_Postcentral-2-R	S_Postcentral-2-R	post2_R	74	756	756	26	49	63	40.8888888888889	-29.9126984126984	52.3121693121693
S_Postcentral-3-L	S_Postcentral-3-L	post3_L	75	587	587	68	48	59	-43.0085178875639	-32.8381601362862	44.1022146507666
S_Postcentral-3-R	S_Postcentral-3-R	post3_R	76	145	145	22	51	58	47.9724137931034	-25.9724137931034	42.5379310344828
G_Parietal_Sup-1-L	G_Parietal_Sup-1-L	P1_1_L	77	65	65	58	40	67	-23.6307692307692	-47.3230769230769	60.0923076923077
G_Parietal_Sup-1-R	G_Parietal_Sup-1-R	P1_1_R	78	121	121	34	41	68	23.504132231405	-46.8264462809917	62.8925619834711
G_Parietal_Sup-2-L	G_Parietal_Sup-2-L	P1_2_L	79	209	209	55	41	71	-18.6028708133971	-46.9186602870813	67.5311004784689
G_Parietal_Sup-2-R	G_Parietal_Sup-2-R	P1_2_R	80	232	232	36	42	71	19.8965517241379	-44.9051724137931	67.1206896551724
G_Parietal_Sup-3-L	G_Parietal_Sup-3-L	P1_3_L	81	262	262	61	38	70	-29.5954198473282	-51.2213740458015	66.5648854961832
G_Parietal_Sup-3-R	G_Parietal_Sup-3-R	P1_3_R	82	148	148	32	40	71	28.972972972973	-48.9324324324324	67.5135135135135
G_Parietal_Sup-4-L	G_Parietal_Sup-4-L	P1_4_L	83	223	223	58	37	65	-24.8251121076233	-53.9820627802691	56.6367713004484
G_Parietal_Sup-4-R	G_Parietal_Sup-4-R	P1_4_R	84	284	284	33	38	65	25.5070422535211	-51.1901408450704	56.612676056338
G_Parietal_Sup-5-L	G_Parietal_Sup-5-L	P1_5_L	85	447	447	54	33	68	-16.0178970917226	-61.3154362416107	61.4586129753915
G_Parietal_Sup-5-R	G_Parietal_Sup-5-R	P1_5_R	86	292	292	38	35	68	15.1643835616438	-57.8630136986301	62.3767123287671
G_Supramarginal-1-L	G_Supramarginal-1-L	SMG1_L	87	279	279	73	49	48	-54.4731182795699	-29.505376344086	21.3691756272401
G_Supramarginal-1-R	G_Supramarginal-1-R	SMG1_R	88	367	367	19	51	48	54.5068119891008	-26.408719346049	22.0490463215259
G_SupraMarginal-2-L	G_SupraMarginal-2-L	SMG2_L	89	243	243	75	49	50	-58.9547325102881	-29.1522633744856	25.8930041152263
G_SupraMarginal-2-R	G_SupraMarginal-2-R	SMG2_R	90	348	348	17	51	52	58.7183908045977	-26.7643678160919	29.1896551724138
G_Supramarginal-3-L	G_Supramarginal-3-L	SMG3_L	91	306	306	75	50	55	-58.6339869281046	-27.4183006535948	36.6535947712418
G_Supramarginal-3-R	G_Supramarginal-3-R	SMG3_R	92	205	205	16	52	56	59.8634146341463	-23.0926829268293	38.4975609756098
G_Supramarginal-4-L	G_Supramarginal-4-L	SMG4_L	93	329	329	76	45	56	-59.112462006079	-37.9148936170213	37.0334346504559
G_Supramarginal-4-R	G_Supramarginal-4-R	SMG4_R	94	270	270	16	46	56	60.1555555555556	-35.4074074074074	38.0074074074074
G_SupraMarginal-5-L	G_SupraMarginal-5-L	SMG5_L	95	107	107	75	43	52	-57.8317757009346	-42.5607476635514	29.2710280373832
G_SupraMarginal-5-R	G_SupraMarginal-5-R	SMG5_R	96	178	178	16	44	51	59.6966292134831	-39.8314606741573	27.5168539325843
G_SupraMarginal-6-L	G_SupraMarginal-6-L	SMG6_L	97	120	120	73	43	60	-53.6333333333333	-42.1	46.05
G_SupraMarginal-6-R	G_SupraMarginal-6-R	SMG6_R	98	133	133	19	45	59	53.7744360902256	-38.1503759398496	43.9548872180451
G_SupraMarginal-7-L	G_SupraMarginal-7-L	SMG7_L	99	303	303	74	38	50	-55.2145214521452	-51.6699669966997	25.5115511551155
G_SupraMarginal-7-R	G_SupraMarginal-7-R	SMG7_R	100	125	125	18	41	54	55.36	-45.904	33.408
G_Angular-1-L	G_Angular-1-L	AG1_L	101	597	597	70	35	59	-47.9664991624791	-57.212730318258	43.7085427135678
G_Angular-1-R	G_Angular-1-R	AG1_R	102	541	541	21	38	58	50.5027726432532	-52.2883548983364	42.5101663585952
G_Angular-2-L	G_Angular-2-L	AG2_L	103	519	519	65	29	57	-37.5375722543353	-70.4393063583815	39.4682080924856
G_Angular-2-R	G_Angular-2-R	AG2_R	104	555	555	24	33	55	44.5045045045045	-62.3711711711712	36.2774774774775
G_Angular-3-L	G_Angular-3-L	AG3_L	105	308	308	67	29	51	-42.6298701298701	-70.6363636363636	27.038961038961
G_Angular-3-R	G_Angular-3-R	AG3_R	106	277	277	22	33	49	47.0108303249097	-62.9530685920578	24.7148014440433
G_Parietal_Inf-1-L	G_Parietal_Inf-1-L	P2_L	107	211	211	68	38	62	-44.9099526066351	-52.6066350710901	49.7725118483412
G_Parietal_Inf-1-R	G_Parietal_Inf-1-R	P2_R	108	410	410	25	37	61	42.7268292682927	-53.1317073170732	47.5853658536585
S_Intraparietal-1-L	S_Intraparietal-1-L	ips1_L	109	413	413	67	43	62	-41.3995157384988	-42.5084745762712	49.1138014527845
S_Intraparietal-1-R	S_Intraparietal-1-R	ips1_R	110	637	637	26	44	63	40.0031397174254	-40.1507064364207	51.0957613814757
S_Intraparietal-2-L	S_Intraparietal-2-L	ips2_L	111	832	832	63	35	60	-34.1225961538462	-58.3004807692308	46.2139423076923
S_Intraparietal-2-R	S_Intraparietal-2-R	ips2_R	112	719	719	27	38	61	37.4158553546593	-52.4005563282337	48.356050069541
S_Intraparietal-3-L	S_Intraparietal-3-L	ips3_L	113	761	761	59	34	59	-26.9408672798949	-59.8002628120894	44.3784494086728
S_Intraparietal-3-R	S_Intraparietal-3-R	ips3_R	114	771	771	33	33	60	26.4072632944228	-61.6679636835279	46.2801556420233
S_Intraoccipital-1-L	S_Intraoccipital-1-L	ios_L	115	50	50	58	28	53	-23.92	-71.72	32.44
S_Intraoccipital-1-R	S_Intraoccipital-1-R	ios_R	116	48	48	32	29	54	27.8333333333333	-69.375	33.2916666666667
G_Occipital_Pole-1-L	G_Occipital_Pole-1-L	Opole_L	117	302	302	57	16	30	-21.3708609271523	-96.0198675496689	-13.7417218543046
G_Occipital_Pole-1-R	G_Occipital_Pole-1-R	Opole_R	118	372	372	34	17	31	23.6666666666667	-93.0698924731183	-12.9247311827957
G_Occipital_Lat-1-L	G_Occipital_Lat-1-L	Olat1_L	119	356	356	54	16	38	-15.2359550561798	-96.8483146067416	1.34831460674157
G_Occipital_Lat-1-R	G_Occipital_Lat-1-R	Olat1_R	120	422	422	37	17	39	17.1090047393365	-94.2417061611374	3.52132701421802
G_Occipital_Lat-2-L	G_Occipital_Lat-2-L	Olat2_L	121	576	576	59	17	37	-26.3645833333333	-93.6284722222222	-0.711805555555557
G_Occipital_Lat-2-R	G_Occipital_Lat-2-R	Olat2_R	122	674	674	32	19	36	28.0652818991098	-89.1186943620178	-2.05637982195846
G_Occipital_Lat-3-L	G_Occipital_Lat-3-L	Olat3_L	123	145	145	66	22	31	-39.5724137931034	-84.4413793103448	-11.9448275862069
G_Occipital_Lat-3-R	G_Occipital_Lat-3-R	Olat3_R	124	110	110	24	24	32	43.5090909090909	-80.7454545454545	-10.4909090909091
G_Occipital_Lat-4-L	G_Occipital_Lat-4-L	Olat4_L	125	485	485	61	20	41	-30.7835051546392	-88.6556701030928	8.42474226804124
G_Occipital_Lat-4-R	G_Occipital_Lat-4-R	Olat4_R	126	472	472	29	21	41	33.6186440677966	-85.385593220339	8.8135593220339
G_Occipital_Lat-5-L	G_Occipital_Lat-5-L	Olat5_L	127	974	974	64	25	37	-35.3264887063655	-78.7453798767967	-0.616016427104725
G_Occipital_Lat-5-R	G_Occipital_Lat-5-R	Olat5_R	128	1015	1015	28	26	38	35.6059113300493	-75.5665024630542	1.64729064039409
G_Occipital_Sup-1-L	G_Occipital_Sup-1-L	O1_1_L	129	184	184	54	23	54	-15.4565217391304	-82.5326086956522	34.5434782608696
G_Occipital_Sup-1-R	G_Occipital_Sup-1-R	O1_1_R	130	171	171	37	24	56	18.046783625731	-80.7602339181286	37.2631578947368
G_Occipital_Sup-2-L	G_Occipital_Sup-2-L	O1_2_L	131	499	499	53	19	49	-14.0921843687375	-90.3286573146293	24.9498997995992
G_Occipital_Sup-2-R	G_Occipital_Sup-2-R	O1_2_R	132	560	560	37	20	50	17.0392857142857	-87.7821428571429	26.4678571428571
G_Occipital_Mid-1-L	G_Occipital_Mid-1-L	O2_1_L	133	509	509	62	25	50	-31.6502946954813	-78.098231827112	25.2573673870334
G_Occipital_Mid-1-R	G_Occipital_Mid-1-R	O2_1_R	134	516	516	28	27	50	36.1589147286822	-74.4651162790698	25.3178294573643
G_Occipital_Mid-2-L	G_Occipital_Mid-2-L	O2_2_L	135	225	225	64	25	44	-36.9688888888889	-77.3955555555555	14.3555555555556
G_Occipital_Mid-2-R	G_Occipital_Mid-2-R	O2_2_R	136	376	376	25	28	43	41.1063829787234	-72.9148936170213	12.1755319148936
G_Occipital_Mid-3-L	G_Occipital_Mid-3-L	O2_3_L	137	202	202	67	28	46	-41.7326732673267	-71.4851485148515	17.950495049505
G_Occipital_Mid-3-R	G_Occipital_Mid-3-R	O2_3_R	138	159	159	23	32	45	45.0691823899371	-63.1446540880503	15.1194968553459
G_Occipital_Mid-4-L	G_Occipital_Mid-4-L	O2_4_L	139	363	363	64	24	52	-36.1542699724518	-80.0220385674931	30.2809917355372
G_Occipital_Mid-4-R	G_Occipital_Mid-4-R	O2_4_R	140	498	498	26	27	52	40.9236947791165	-73.8714859437751	29.6465863453815
G_Occipital_Inf-1-L	G_Occipital_Inf-1-L	O3_1_L	141	139	139	70	30	35	-48.4172661870504	-68.9928057553957	-4.30215827338129
G_Occipital_Inf-1-R	G_Occipital_Inf-1-R	O3_1_R	142	180	180	21	34	33	49.9	-60.2111111111111	-8.75555555555556
G_Occipital_Inf-2-L	G_Occipital_Inf-2-L	O3_2_L	143	382	382	68	29	34	-44.5287958115183	-70.717277486911	-6.68062827225131
G_Occipital_Inf-2-R	G_Occipital_Inf-2-R	O3_2_R	144	450	450	22	32	33	47.0577777777778	-64.7288888888889	-7.45333333333333
G_Insula-anterior-1-L	G_Insula-anterior-1-L	INSa1_L	145	252	252	56	66	27	-20.3412698412698	4.95238095238096	-19.3253968253968
G_Insula-anterior-1-R	G_Insula-anterior-1-R	INSa1_R	146	317	317	36	68	27	19.3501577287066	7.04731861198738	-19.0662460567823
G_Insula-anterior-2-L	G_Insula-anterior-2-L	INSa2_L	147	399	399	63	72	31	-33.7944862155389	16.7919799498747	-12.7418546365915
G_Insula-anterior-2-R	G_Insula-anterior-2-R	INSa2_R	148	273	273	29	73	31	34.7032967032967	18.4688644688645	-12.7252747252747
G_Insula-anterior-3-L	G_Insula-anterior-3-L	INSa3_L	149	469	469	63	76	37	-33.7398720682303	23.680170575693	0.575692963752658
G_Insula-anterior-3-R	G_Insula-anterior-3-R	INSa3_R	150	721	721	28	76	37	36.8016643550624	24.2108183079057	-0.33287101248267
G_Insula-anterior-4-L	G_Insula-anterior-4-L	INSa4_L	151	734	734	66	72	38	-40.7493188010899	15.1471389645777	2.6267029972752
G_Insula-anterior-4-R	G_Insula-anterior-4-R	INSa4_R	152	593	593	26	71	39	40.8060708263069	14.5092748735244	4.09106239460371
G_Insula-anterior-5-L	G_Insula-anterior-5-L	INSa5_L	153	593	593	67	64	33	-41.7841483979764	-0.927487352445198	-7.99662731871838
G_Insula-anterior-5-R	G_Insula-anterior-5-R	INSa5_R	154	591	591	25	65	33	41.8477157360406	1.86463620981388	-8.75465313028765
G_Insula-posterior-1-L	G_Insula-posterior-1-L	INSp_L	155	923	923	67	54	44	-42.0780065005417	-19.0964247020585	13.7074756229686
G_Insula-posterior-1-R	G_Insula-posterior-1-R	INSp_R	156	858	858	26	54	44	40.6107226107226	-19.4638694638695	14.3076923076923
G_Rolandic_Oper-1-L	G_Rolandic_Oper-1-L	ROLop1_L	157	650	650	69	66	42	-46.2553846153846	3.59076923076924	9.3876923076923
G_Rolandic_Oper-1-R	G_Rolandic_Oper-1-R	ROLop1_R	158	558	558	23	67	42	46.1039426523297	5.64516129032259	9.35125448028674
G_Rolandic_Oper-2-L	G_Rolandic_Oper-2-L	ROLop2_L	159	550	550	71	60	44	-50.5927272727273	-8.95636363636363	13.9054545454545
G_Rolandic_Oper-2-R	G_Rolandic_Oper-2-R	ROLop2_R	160	616	616	21	61	44	49.737012987013	-6.32467532467533	13.8863636363636
G_Temporal_Sup-1-L	G_Temporal_Sup-1-L	T1_1_L	161	105	105	74	63	38	-55.4666666666667	-1.12380952380953	2.3047619047619
G_Temporal_Sup-1-R	G_Temporal_Sup-1-R	T1_1_R	162	136	136	18	65	38	55.7058823529412	2.10294117647058	2.52941176470588
G_Temporal_Sup-2-L	G_Temporal_Sup-2-L	T1_2_L	163	308	308	69	59	36	-45.2597402597403	-10.9350649350649	-1.61688311688312
G_Temporal_Sup-2-R	G_Temporal_Sup-2-R	T1_2_R	164	307	307	23	60	36	46.5342019543974	-7.1986970684039	-1.58957654723127
G_Temporal_Sup-3-L	G_Temporal_Sup-3-L	T1_3_L	165	954	954	72	50	42	-52.0041928721174	-27.1299790356394	10.916142557652
G_Temporal_Sup-3-R	G_Temporal_Sup-3-R	T1_3_R	166	825	825	17	54	41	57.270303030303	-19.1781818181818	8.83393939393939
G_Temporal_Sup-4-L	G_Temporal_Sup-4-L	T1_4_L	167	832	832	75	52	39	-58.7451923076923	-23.25	3.72596153846153
G_Temporal_Sup-4-R	G_Temporal_Sup-4-R	T1_4_R	168	729	729	16	54	38	60.0466392318244	-19.9753086419753	2.20301783264746
S_Sup_Temporal-1-L	S_Sup_Temporal-1-L	STS1_L	169	326	326	71	71	26	-49.7055214723926	14.0245398773006	-21.5460122699387
S_Sup_Temporal-1-R	S_Sup_Temporal-1-R	STS1_R	170	85	85	20	71	24	52.1176470588235	13.364705882353	-25.8588235294118
S_Sup_Temporal-2-L	S_Sup_Temporal-2-L	STS2_L	171	403	403	73	60	31	-54.863523573201	-7.1712158808933	-12.7543424317618
S_Sup_Temporal-2-R	S_Sup_Temporal-2-R	STS2_R	172	767	767	19	63	29	54.3233376792699	-2.4954367666232	-15.4993481095176
S_Sup_Temporal-3-L	S_Sup_Temporal-3-L	STS3_L	173	629	629	73	47	36	-54.6836248012719	-33.0143084260731	-1.66613672496025
S_Sup_Temporal-3-R	S_Sup_Temporal-3-R	STS3_R	174	641	641	19	48	37	53.0546021840874	-31.8751950078003	-0.271450858034328
S_Sup_Temporal-4-L	S_Sup_Temporal-4-L	STS4_L	175	642	642	74	40	44	-56.5482866043614	-48.3676012461059	13.3613707165109
S_Sup_Temporal-4-R	S_Sup_Temporal-4-R	STS4_R	176	840	840	19	41	44	54.6142857142857	-45.5285714285714	14.6119047619048
S_Sup_Temporal-5-L	S_Sup_Temporal-5-L	STS5_L	177	711	711	70	35	50	-48.1209563994374	-58.1772151898734	25.789029535865
S_Sup_Temporal-5-R	S_Sup_Temporal-5-R	STS5_R	178	463	463	20	37	48	51.377969762419	-54.0647948164147	21.0323974082073
G_Temporal_Mid-1-L	G_Temporal_Mid-1-L	T2_1_L	179	364	364	77	58	29	-61.2087912087912	-11.5384615384615	-16.8406593406593
G_Temporal_Mid-1-R	G_Temporal_Mid-1-R	T2_1_R	180	214	214	16	61	27	60.9532710280374	-5.46728971962617	-21
G_Temporal_Mid-2-L	G_Temporal_Mid-2-L	T2_2_L	181	536	536	77	47	31	-62.9776119402985	-34.339552238806	-12.0671641791045
G_Temporal_Mid-2-R	G_Temporal_Mid-2-R	T2_2_R	182	592	592	14	50	31	63.6993243243243	-28.402027027027	-12.7972972972973
G_Temporal_Mid-3-L	G_Temporal_Mid-3-L	T2_3_L	183	266	266	76	46	35	-60.9699248120301	-35.0300751879699	-4.80451127819549
G_Temporal_Mid-3-R	G_Temporal_Mid-3-R	T2_3_R	184	241	241	15	49	35	62.3402489626556	-30.8796680497925	-4.70539419087137
G_Temporal_Mid-4-L	G_Temporal_Mid-4-L	T2_4_L	185	496	496	73	34	41	-53.0887096774194	-59.3870967741936	7.03225806451613
G_Temporal_Mid-4-R	G_Temporal_Mid-4-R	T2_4_R	186	269	269	18	37	38	56.7955390334572	-53.2193308550186	2.96654275092936
G_Temporal_Inf-1-L	G_Temporal_Inf-1-L	T3_1_L	187	936	936	69	56	21	-46.5662393162393	-15.1517094017094	-32.7713675213675
G_Temporal_Inf-1-R	G_Temporal_Inf-1-R	T3_1_R	188	1021	1021	23	60	19	45.2673849167483	-7.24191968658178	-36.5347698334966
G_Temporal_Inf-2-L	G_Temporal_Inf-2-L	T3_2_L	189	629	629	75	51	25	-58.550079491256	-26.066772655008	-23.8378378378378
G_Temporal_Inf-2-R	G_Temporal_Inf-2-R	T3_2_R	190	656	656	17	53	24	57.8109756097561	-22.1128048780488	-25.1798780487805
G_Temporal_Inf-3-L	G_Temporal_Inf-3-L	T3_3_L	191	654	654	74	38	30	-56.4373088685015	-52.9388379204893	-13.7064220183486
G_Temporal_Inf-3-R	G_Temporal_Inf-3-R	T3_3_R	192	597	597	17	41	30	57.3869346733668	-46.3316582914573	-13.8726968174204
G_Temporal_Inf-4-L	G_Temporal_Inf-4-L	T3_4_L	193	410	410	71	34	33	-50.019512195122	-60.6292682926829	-7.6390243902439
